Ratings,Model,Year,Engine HP,Engine Cylinders,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,highway MPG,city mpg,"Vehicle Style",Sentiment,Compound_Score
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.9487
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.9704
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.9382
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.9005
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.9958
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9636
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9641
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9831
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9536
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9022
3.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.341
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.8537
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.6124
5.0,9,2013.0,350.0,6.0,2,4.0,9,1,30.0,22.0,5,2,0.9924
1.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,0,-0.2732
4.625,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9652
2.5,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,0,-0.9279
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.7994
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9708
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9313
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.893
4.5,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.775
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9712
4.125,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,1,0.0328
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9373
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8687
3.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.4594
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9839
3.625,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.2028
4.25,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9577
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9595
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8885
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8176
4.5,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9535
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9862
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9655
4.5,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8316
4.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.5719
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9371
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9732
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8658
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.7861
4.375,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.4777
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.945
3.375,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,0,-0.3182
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.6597
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9538
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9905
4.5,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.2023
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9062
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8834
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8979
4.625,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9718
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8407
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8316
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.5719
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.6021
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9816
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9001
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.25
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.6894
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.7551
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9485
3.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,1,0.128
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9674
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9781
4.875,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9509
4.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8792
4.375,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8402
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.6057
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9079
4.75,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.8979
4.125,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.988
5.0,5,2015.0,445.0,8.0,2,2.0,7,2,25.0,17.0,3,2,0.9735
